Yearsold,Total,Man,Woman
0,957,489,469
1,970,497,474
2,1007,514,492
3,1013,518,495
4,1041,533,507
5,1044,535,509
6,1055,540,514
7,1075,550,525
8,1067,547,520
9,1059,542,517
10,1061,543,518
11,1099,562,537
12,1119,573,545
13,1152,591,562
14,1169,599,569
15,1196,615,580
16,1197,615,582
17,1215,625,590
18,1207,618,588
19,1195,612,582
20,1209,618,591
21,1201,614,587
22,1176,600,576
23,1192,608,584
24,1190,606,584
25,1213,616,596
26,1243,631,611
27,1285,653,632
28,1322,671,651
29,1347,684,663
30,1402,709,693
31,1449,732,717
32,1472,744,728
33,1475,745,731
34,1493,755,738
35,1558,787,771
36,1599,809,790
37,1663,840,822
38,1707,863,844
39,1789,905,885
40,1868,944,924
41,1972,998,974
42,2006,1011,995
43,1969,995,975
44,1917,966,951
45,1859,937,922
46,1831,921,910
47,1790,900,890
48,1787,898,889
49,1396,699,697
50,1723,864,860
51,1614,809,805
52,1574,787,786
53,1521,760,761
54,1498,748,750
55,1508,751,757
56,1536,764,772
57,1494,741,753
58,1452,719,733
59,1525,754,771
60,1576,779,797
61,1574,776,798
62,1672,820,851
63,1767,864,902
64,1866,911,955
65,1999,972,1027
66,2184,1059,1125
67,2156,1041,1115
68,2038,983,1055
69,1267,605,662
70,1352,637,715
71,1635,766,869
72,1571,732,839
73,1600,740,860
74,1538,707,831
75,1380,629,752
76,1184,534,650
77,1242,551,691
78,1249,547,702
79,1221,527,695
80,1134,478,656
81,1039,428,611
82,1001,401,601
83,933,365,568
84,855,323,532
85,761,278,483
86,695,243,452
87,624,210,414
88,552,178,374
89,485,147,337
90,403,114,289
91,322,84,238
92,263,61,202
93,203,43,160
94,159,32,127
95,131,25,106
96,82,15,67
97,64,11,53
98,47,8,40
99,35,5,29
100,62,8,53
